#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2021,1,1,9,30,999,5.1,6.5,99,99,99,999,1014.8,15.1,999,10.1,99,99
2021,1,1,9,40,999,5.9,7.4,2.53,16,7.64,276,1014.7,15.1,999,9.9,99,99
2021,1,1,9,50,999,5.8,7.5,99,99,99,999,1014.8,15.1,999,10.1,99,99
2021,1,1,10,0,999,5.1,6.5,99,99,99,999,1014.9,15,999,11.3,99,99
2021,1,1,10,10,999,5.1,7,99,99,99,999,1014.9,14.7,999,10.7,99,99
2021,1,1,10,20,999,4.9,6.3,99,99,99,999,1015,14.7,999,11.6,99,99
2021,1,1,10,30,999,5,6.5,99,99,99,999,1015.1,14.5,999,11.6,99,99
2021,1,1,10,40,999,4.5,6,2.39,17.39,7.67,294,1015,14.5,999,11.6,99,99
2021,1,1,10,50,999,4.2,5.5,99,99,99,999,1015.1,14.5,999,11.3,99,99
2021,1,1,11,0,999,4.5,5.9,99,99,99,999,1015.1,14.7,999,11.2,99,99
2021,1,1,11,10,999,4.9,6.3,99,99,99,999,1015.2,14.8,999,10.9,99,99
2021,1,1,11,20,999,4.5,6,99,99,99,999,1015.3,14.8,999,11,99,99
2021,1,1,11,30,999,4.3,5.6,99,99,99,999,1015.2,14.8,999,10.8,99,99
2021,1,1,11,40,999,4.5,6,2.33,16,7.54,270,1015.3,14.9,999,10.5,99,99
2021,1,1,11,50,999,4.8,5.9,99,99,99,999,1015.3,15,999,10.6,99,99
2021,1,1,12,0,999,5,6.2,99,99,99,999,1015.2,15,999,10.4,99,99
2021,1,1,12,10,999,4.7,5.9,99,99,99,999,1015.4,15.1,999,10.4,99,99
2021,1,1,12,20,999,3.3,5,99,99,99,999,1015.5,15,999,10.4,99,99
2021,1,1,12,30,999,2.4,4.8,99,99,99,999,1015.6,15.1,999,11.2,99,99
2021,1,1,12,40,999,3.5,5,2.39,16,8.08,277,1015.6,14.7,999,10.8,99,99
2021,1,1,12,50,999,4.2,5.8,99,99,99,999,1015.8,14.9,999,10.6,99,99
2021,1,1,13,0,999,3.3,4.2,99,99,99,999,1015.9,14.9,999,10.6,99,99
2021,1,1,13,10,999,2.2,3.9,99,99,99,999,1016,15,999,10.7,99,99
2021,1,1,13,20,999,2.2,3.8,99,99,99,999,1016,14.9,999,10.8,99,99
2021,1,1,13,30,999,2.3,3.3,99,99,99,999,1016.1,14.8,999,10.6,99,99
2021,1,1,13,40,999,2.7,4.1,2.26,16,8.25,273,1016.2,14.8,999,10.5,99,99
2021,1,1,13,50,999,3.4,4.1,99,99,99,999,1016.3,14.9,999,10.5,99,99
2021,1,1,14,0,999,3.1,4.2,99,99,99,999,1016.6,14.9,999,10.7,99,99
2021,1,1,14,10,999,3.5,4.6,99,99,99,999,1016.7,14.9,999,10.7,99,99
2021,1,1,14,20,999,3.3,4.3,99,99,99,999,1016.8,14.9,999,10.7,99,99
2021,1,1,14,30,999,3,4.2,99,99,99,999,1016.8,14.9,999,10.8,99,99
2021,1,1,14,40,999,2.4,3.2,2.29,16,8.29,285,1016.9,14.9,999,11,99,99
2021,1,1,14,50,999,2.3,3.1,99,99,99,999,1017.1,14.8,999,11,99,99
2021,1,1,15,0,999,2.2,2.8,99,99,99,999,1017.2,14.8,999,11.3,99,99
2021,1,1,15,10,999,2.2,2.9,99,99,99,999,1017.3,14.7,999,11.3,99,99
2021,1,1,15,20,999,1.6,2.2,99,99,99,999,1017.5,14.7,999,11.4,99,99
2021,1,1,15,30,999,1.3,2.2,99,99,99,999,1017.7,14.7,999,11.4,99,99
2021,1,1,15,40,999,1.5,2.4,2.28,16,8.98,274,1017.8,14.7,999,11.4,99,99
2021,1,1,15,50,999,2,2.4,99,99,99,999,1017.8,14.8,999,11.5,99,99
2021,1,1,16,0,999,1.9,2.9,99,99,99,999,1017.9,14.9,999,11.8,99,99
2021,1,1,16,10,999,1.7,2.7,99,99,99,999,1018.2,14.9,999,11.9,99,99
2021,1,1,16,20,999,1.2,2.4,99,99,99,999,1018.5,15,999,12.1,99,99
2021,1,1,16,30,999,1.7,2.8,99,99,99,999,1018.6,15,999,12.2,99,99
2021,1,1,16,40,999,2.7,4.4,2.31,16,8.76,285,1018.8,14.9,999,11.8,99,99
2021,1,1,16,50,999,3,4.6,99,99,99,999,1019.1,15,999,11.5,99,99
2021,1,1,17,0,999,2.3,4,99,99,99,999,1019.5,15.1,999,11.5,99,99
2021,1,1,17,10,999,1.8,3.2,99,99,99,999,1019.6,15,999,11.2,99,99
2021,1,1,17,20,999,1.2,3.2,99,99,99,999,1019.8,15.1,999,11.1,99,99
2021,1,1,17,30,999,0.7,2,99,99,99,999,1019.8,15.2,999,11.1,99,99
2021,1,1,17,40,999,1.1,2.2,2.52,14.81,9.64,280,1020,15.1,999,10.9,99,99
2021,1,1,17,50,999,1.3,2,99,99,99,999,1020,15,999,10.8,99,99
2021,1,1,18,0,999,1.3,2,99,99,99,999,1019.9,15,999,11,99,99
2021,1,1,18,10,999,0.6,1.6,99,99,99,999,1019.9,15,999,11,99,99
2021,1,1,18,20,999,0.7,1.6,99,99,99,999,1019.8,14.9,999,10.7,99,99
2021,1,1,18,30,999,0.2,1.2,99,99,99,999,1019.8,15.1,999,11,99,99
2021,1,1,18,40,999,0,0.5,2.04,14.81,8.53,281,1019.7,15.1,999,10.9,99,99
2021,1,1,18,50,999,0.4,1.4,99,99,99,999,1019.6,15.2,999,10.6,99,99
2021,1,1,19,0,999,0.8,2.2,99,99,99,999,1019.6,15.1,999,10.3,99,99
2021,1,1,19,10,999,1.5,3,99,99,99,999,1019.4,15.1,999,10,99,99
2021,1,1,19,20,999,2,2.9,99,99,99,999,1019.4,15.2,999,10.1,99,99
2021,1,1,19,30,999,2.4,3.7,99,99,99,999,1019.3,15.1,999,9.6,99,99
2021,1,1,19,40,999,1.6,2.8,2.45,14.81,9.52,284,1019.3,15.3,999,9.7,99,99
2021,1,1,19,50,999,1.2,2.7,99,99,99,999,1019.2,15.2,999,9.5,99,99
2021,1,1,20,0,999,2.1,3.4,99,99,99,999,1019.1,15.1,999,8.8,99,99
2021,1,1,20,10,999,2.6,4.4,99,99,99,999,1018.8,15.3,999,9.5,99,99
2021,1,1,20,20,999,2.9,4.3,99,99,99,999,1018.8,15.1,999,9.3,99,99
2021,1,1,20,30,999,1.8,3.3,99,99,99,999,1018.8,15.1,999,9.4,99,99
2021,1,1,20,40,999,1.6,3.2,2.28,14.81,9.43,290,1018.7,15.1,999,9.3,99,99
2021,1,1,20,50,999,1.6,2.5,99,99,99,999,1018.8,15,999,9.1,99,99
2021,1,1,21,0,999,1.1,2.6,99,99,99,999,1018.9,15.1,999,9.2,99,99
2021,1,1,21,10,999,0.5,1.5,99,99,99,999,1018.9,15.1,999,9.2,99,99
2021,1,1,21,20,999,0.5,1.3,99,99,99,999,1018.7,15.1,999,9.1,99,99
2021,1,1,21,30,999,0.5,1.7,99,99,99,999,1018.7,15.1,999,9.1,99,99
2021,1,1,21,40,999,0.5,1.8,2.47,16,9.81,286,1018.7,15.3,999,9.4,99,99
2021,1,1,21,50,999,0.4,1.7,99,99,99,999,1018.8,15.2,999,9.1,99,99
2021,1,1,22,0,999,1.3,2.3,99,99,99,999,1018.9,15.2,999,9.2,99,99
2021,1,1,22,10,999,1.2,2.5,99,99,99,999,1019.1,15.2,999,9.4,99,99
2021,1,1,22,20,999,1.3,3,99,99,99,999,1019,15.3,999,9.6,99,99
2021,1,1,22,30,999,2.4,3.5,99,99,99,999,1019.2,15.3,999,9.7,99,99
2021,1,1,22,40,999,1.5,3.2,2.33,16,9.11,283,1019.2,15.3,999,9.8,99,99
2021,1,1,22,50,999,0.7,1.6,99,99,99,999,1019.2,15.4,999,9.7,99,99
2021,1,1,23,0,999,0.5,1.3,99,99,99,999,1019.3,15.5,999,9.9,99,99
2021,1,1,23,10,999,1.4,2.7,99,99,99,999,1019.6,15.5,999,10,99,99
2021,1,1,23,20,999,2.3,3.8,99,99,99,999,1019.8,15.4,999,10.5,99,99
2021,1,1,23,30,999,2.5,3.9,99,99,99,999,1019.9,15.4,999,10.8,99,99
2021,1,1,23,40,999,2.3,3.8,2.33,14.81,9.35,293,1019.9,15.3,999,10.7,99,99
2021,1,1,23,50,999,2.7,3.9,99,99,99,999,1020,15.3,999,10.8,99,99
