Beach_ID,Beach Name,Latitude,Longitude,Sunrise,Sunset,Weather Description,Temperature,Water Temperature,Cloud Cover,Wind Speed,Wave Height
20,Salt Point State Park,38.57666921,-123.3317278,06:57 AM,04:59 PM,Clear,50,49,0,6,4.3
21,Stillwater Cove Regional Park,38.54852987,-123.2943892,06:56 AM,04:59 PM,Clear,48,53,0,5,3.3
22,Clam Beach,40.99536694,-124.1109588,07:06 AM,04:57 PM,Clear,47,47,0,4,4.6
23,Fort Ross State Historic Park,38.51617729,-123.2460254,06:56 AM,04:59 PM,Clear,48,53,0,5,3.3
24,Goat Rock Beach,38.44711794,-123.1265214,06:55 AM,04:59 PM,Clear,50,49,0,5,3.3
25,Blind Beach,38.43699972,-123.1223772,06:55 AM,04:59 PM,Clear,50,49,0,5,3.3
26,Shell Beach,38.50306292,-123.1417195,06:56 AM,04:59 PM,Clear,48,53,0,5,3.3
27,Wrights Beach,38.40033248,-123.0969266,06:55 AM,04:59 PM,Clear,50,49,0,5,3.3
28,Gleason Beach,38.39010789,-123.0857298,06:55 AM,04:59 PM,Clear,50,49,0,5,3.3
29,Schoolhouse Beach,38.37626954,-123.0786946,06:55 AM,04:59 PM,Clear,50,49,0,5,3.3
30,Carmet Beach,38.37254912,-123.0762862,06:55 AM,04:59 PM,Clear,50,49,0,5,3.3
31,Arched Rock Beach,38.36725878,-123.0726081,06:55 AM,04:59 PM,Clear,50,49,0,5,3.3
32,Coleman Beach,38.36596694,-123.0714996,06:55 AM,04:59 PM,Clear,50,49,0,5,3.3
33,Miwok Beach,38.36111029,-123.0691915,06:55 AM,04:59 PM,Clear,50,49,0,5,3.3
34,North Salmon Creek Beach,38.35991175,-123.0687585,06:55 AM,04:59 PM,Clear,50,49,0,5,3.3
35,South Salmon Creek Beach,38.33989879,-123.0684011,06:55 AM,04:59 PM,Clear,50,49,0,5,3.3
36,Sonoma Coast State Beach,38.42730398,-123.0997142,06:55 AM,04:59 PM,Clear,50,49,0,5,3.3
37,Doran Beach,38.31450636,-123.0443867,06:55 AM,04:59 PM,Clear,49,54,0,4,3.3
38,Doran Regional Park,38.31405857,-123.0487846,06:55 AM,04:59 PM,Clear,49,54,0,4,3.3
39,Tomales Bay State Park,38.12344382,-122.9013544,06:54 AM,04:59 PM,Clear,53,51,0,6,3.9
40,Point Reyes National Seashore,38.05334833,-122.8686076,06:53 AM,04:59 PM,Clear,53,51,0,6,3.9
41,Mount Tamalpais State Park,37.88916572,-122.6108739,06:52 AM,04:58 PM,Clear,52,52,0,6,2.3
42,Stinson Beach Park,37.89914093,-122.6457161,06:52 AM,04:58 PM,Clear,52,52,0,6,2.3
43,Golden Gate National Recreation Area,37.83175951,-122.5385814,06:52 AM,04:58 PM,Clear,52,52,0,6,2.3
44,Dillon beach,38.25058272,-122.9669146,06:54 AM,04:59 PM,Clear,49,54,0,4,3.3
45,Muir Beach,37.86144576,-122.5794152,06:52 AM,04:58 PM,Clear,52,52,0,6,2.3
46,Miller/Knox Beach,37.91654106,-122.3849756,06:51 AM,04:57 PM,Clear,52,52,0,6,2.3
47,Albany Beach,37.889028,-122.317164,06:51 AM,04:57 PM,Clear,52,52,0,6,2.3
48,Radio Beach,37.82500399,-122.3177221,06:51 AM,04:57 PM,Clear,52,52,0,6,2.3
49,Crown Memorial State Beach,37.76638543,-122.2719476,06:50 AM,04:57 PM,Clear,51,51,0,8,3.6
50,Aquatic Park,37.85749931,-122.3006492,06:51 AM,04:57 PM,Clear,52,52,0,6,2.3
51,East Beach,37.90697664,-122.4472461,06:52 AM,04:57 PM,Clear,52,52,0,6,2.3
52,Marshall's Beach,37.80212595,-122.4800495,06:51 AM,04:58 PM,Clear,52,52,0,6,2.3
53,Baker Beach,37.79389403,-122.4837904,06:51 AM,04:58 PM,Clear,52,52,0,6,2.3
54,China Beach,37.82800894,-122.5124907,06:52 AM,04:58 PM,Clear,52,52,0,6,2.3
55,Lands End Beach,37.78765857,-122.5061247,06:52 AM,04:58 PM,Clear,52,52,0,6,2.3
