Beach_ID,Beach Name,Latitude,Longitude,Sunrise,Sunset,Weather Description,Temperature,Water Temperature,Cloud Cover,Wind Speed,Wave Height
0,Border Field State Park,32.54494004,-117.1223413,06:19 AM,04:48 PM,Partly cloudy,60,58,1,4,3.9
1,Pelican State Beach,41.992395,-124.209664,07:08 AM,04:56 PM,Clear,47,48,0,6,6.9
2,Crescent Beach,41.72836258,-124.1531784,07:06 AM,04:56 PM,Clear,45,51,0,5,5.2
3,Redwood National Park,41.20897003,-124.1190559,07:05 AM,04:58 PM,Clear,46,51,0,6,6.2
4,Prairie Creek Redwoods State Beach,41.40174089,-124.0416494,07:05 AM,04:58 PM,Clear,46,51,0,6,6.2
5,Humboldt Lagoons State Park,41.22522304,-124.0980863,07:05 AM,04:58 PM,Clear,46,51,0,6,6.2
6,Sue-meg State Park,41.13665293,-124.155297,07:05 AM,04:58 PM,Clear,46,51,0,6,6.2
7,Trinidad State Beach,41.06582175,-124.1497893,07:05 AM,04:58 PM,Clear,46,51,0,6,6.2
8,Little River State Beach,41.01688007,-124.1117529,07:05 AM,04:58 PM,Clear,46,51,0,6,6.2
9,Clam Beach County Park,40.99847401,-124.1151808,07:05 AM,04:58 PM,Clear,46,51,0,6,6.2
10,Sinkyone Wilderness State Park,39.92043479,-123.9397125,07:02 AM,05:00 PM,Clear,50,54,0,5,5.9
11,Westport-Union Landing State Beach,39.67716307,-123.7912683,07:00 AM,05:00 PM,Clear,47,53,0,4,4.9
12,MacKerricher State Park,39.4886489,-123.7881132,06:59 AM,05:00 PM,Clear,47,53,0,5,5.6
13,Caspar Headlands State Beach,39.3627382,-123.8172252,06:59 AM,05:00 PM,Clear,47,53,0,5,5.6
14,Russian Gulch State Park,39.33310956,-123.8058978,06:59 AM,05:00 PM,Clear,47,53,0,5,5.6
15,Manchester State Park,38.98385949,-123.6993187,06:58 AM,05:01 PM,Clear,49,53,0,6,5.9
16,Schooner Gulch State Beach,38.86821949,-123.6547063,06:58 AM,05:01 PM,Clear,49,53,0,6,5.9
17,Glass Beach,39.45277476,-123.8133215,06:59 AM,05:00 PM,Clear,47,53,0,5,5.6
18,Gualala Point Regional Park,38.76076189,-123.526723,06:58 AM,05:01 PM,Clear,49,53,0,6,5.9
19,Kruse Rhododendron State Reserve,38.59299403,-123.3311264,06:56 AM,05:00 PM,Clear,48,49,0,4,5.9
20,Salt Point State Park,38.57666921,-123.3317278,06:56 AM,05:00 PM,Clear,48,49,0,4,5.9
21,Stillwater Cove Regional Park,38.54852987,-123.2943892,06:55 AM,05:00 PM,Clear,46,53,0,4,4.3
22,Clam Beach,40.99536694,-124.1109588,07:05 AM,04:58 PM,Clear,46,51,0,6,6.2
23,Fort Ross State Historic Park,38.51617729,-123.2460254,06:55 AM,05:00 PM,Clear,46,53,0,4,4.3
24,Goat Rock Beach,38.44711794,-123.1265214,06:54 AM,05:00 PM,Clear,49,49,0,4,4.3
25,Blind Beach,38.43699972,-123.1223772,06:54 AM,05:00 PM,Clear,49,49,0,4,4.3
26,Shell Beach,38.50306292,-123.1417195,06:55 AM,05:00 PM,Clear,46,53,0,4,4.3
27,Wrights Beach,38.40033248,-123.0969266,06:54 AM,05:00 PM,Clear,49,49,0,4,4.3
28,Gleason Beach,38.39010789,-123.0857298,06:54 AM,05:00 PM,Clear,49,49,0,4,4.3
29,Schoolhouse Beach,38.37626954,-123.0786946,06:54 AM,05:00 PM,Clear,49,49,0,4,4.3
30,Carmet Beach,38.37254912,-123.0762862,06:54 AM,05:00 PM,Clear,49,49,0,4,4.3
31,Arched Rock Beach,38.36725878,-123.0726081,06:54 AM,05:00 PM,Clear,49,49,0,4,4.3
32,Coleman Beach,38.36596694,-123.0714996,06:54 AM,05:00 PM,Clear,49,49,0,4,4.3
33,Miwok Beach,38.36111029,-123.0691915,06:54 AM,05:00 PM,Clear,49,49,0,4,4.3
34,North Salmon Creek Beach,38.35991175,-123.0687585,06:54 AM,05:00 PM,Clear,49,49,0,4,4.3
35,South Salmon Creek Beach,38.33989879,-123.0684011,06:54 AM,05:00 PM,Clear,49,49,0,4,4.3
36,Sonoma Coast State Beach,38.42730398,-123.0997142,06:54 AM,05:00 PM,Clear,49,49,0,4,4.3
37,Doran Beach,38.31450636,-123.0443867,06:54 AM,05:00 PM,Clear,47,54,0,7,4.9
38,Doran Regional Park,38.31405857,-123.0487846,06:54 AM,05:00 PM,Clear,47,54,0,7,4.9
39,Tomales Bay State Park,38.12344382,-122.9013544,06:53 AM,05:00 PM,Clear,51,51,0,11,5.6
40,Point Reyes National Seashore,38.05334833,-122.8686076,06:52 AM,04:59 PM,Clear,51,51,0,11,5.6
41,Mount Tamalpais State Park,37.88916572,-122.6108739,06:51 AM,04:59 PM,Clear,51,52,0,9,3.3
42,Stinson Beach Park,37.89914093,-122.6457161,06:51 AM,04:59 PM,Clear,51,52,0,9,3.3
43,Golden Gate National Recreation Area,37.83175951,-122.5385814,06:51 AM,04:59 PM,Clear,51,52,0,9,3.3
44,Dillon beach,38.25058272,-122.9669146,06:53 AM,04:59 PM,Clear,47,54,0,7,4.9
45,Muir Beach,37.86144576,-122.5794152,06:51 AM,04:59 PM,Clear,51,52,0,9,3.3
46,Miller/Knox Beach,37.91654106,-122.3849756,06:50 AM,04:58 PM,Clear,51,52,0,9,3.3
47,Albany Beach,37.889028,-122.317164,06:50 AM,04:57 PM,Clear,51,52,0,9,3.3
48,Radio Beach,37.82500399,-122.3177221,06:50 AM,04:58 PM,Clear,51,52,0,9,3.3
49,Crown Memorial State Beach,37.76638543,-122.2719476,06:49 AM,04:58 PM,Clear,50,51,0,6,4.6
50,Aquatic Park,37.85749931,-122.3006492,06:50 AM,04:57 PM,Clear,51,52,0,9,3.3
51,East Beach,37.90697664,-122.4472461,06:51 AM,04:58 PM,Clear,51,52,0,9,3.3
52,Marshall's Beach,37.80212595,-122.4800495,06:50 AM,04:58 PM,Clear,51,52,0,9,3.3
53,Baker Beach,37.79389403,-122.4837904,06:50 AM,04:58 PM,Clear,51,52,0,9,3.3
54,China Beach,37.82800894,-122.5124907,06:51 AM,04:59 PM,Clear,51,52,0,9,3.3
55,Lands End Beach,37.78765857,-122.5061247,06:50 AM,04:59 PM,Clear,51,52,0,9,3.3
56,Ocean Beach,37.88181079,-122.534132,06:51 AM,04:58 PM,Clear,51,52,0,9,3.3
57,Fort Funston Beach,37.71968785,-122.5028803,06:50 AM,04:59 PM,Clear,51,52,0,9,3.3
58,Thornton Beach State Park,37.69895078,-122.4966631,06:50 AM,04:59 PM,Clear,51,52,0,9,3.3
59,Palisades Park,34.02321351,-118.5095999,06:26 AM,04:50 PM,Clear,58,58,0,5,1.0
60,Northridge Park,34.04688979,-118.6136107,06:26 AM,04:50 PM,Clear,58,58,0,5,1.0
61,Mussel Rock Park,37.66864578,-122.4949438,06:50 AM,04:59 PM,Clear,51,52,0,9,3.3
62,Long View Park,33.4809628,-117.7246712,06:22 AM,04:48 PM,Partly cloudy,60,63,2,3,1.6
63,Beach State Park,33.45460429,-117.6692246,06:22 AM,04:48 PM,Partly cloudy,60,63,2,3,1.6
64,Rockaway Beach,40.58727455,-73.82006442,06:43 AM,04:36 PM,Patchy rain possible,47,59,100,24,4.6
65,Tunitas Creek Beach,37.35550969,-122.3999619,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
66,Gray Whale Cove State Beach,37.56465031,-122.514044,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
67,Montara State Beach,37.54661402,-122.5149052,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
68,El Granada Beach,37.5005241,-122.4706817,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
69,Vallejo Beach,37.49660111,-122.4650877,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
70,Miramar Beach,30.37588036,-86.36451333,06:12 AM,04:48 PM,Partly cloudy,49,71,7,22,3.3
71,Half Moon Bay State Beach,37.47766417,-122.4500385,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
72,Roosevelt Beach,37.48808914,-122.4566241,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
73,Dunes Beach,37.48509246,-122.4539204,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
74,Venice Beach,37.47654446,-122.4489851,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
75,Francis Beach,37.46564519,-122.4467106,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
76,Poplar Beach,37.45607296,-122.4447794,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
77,Redondo State Beach,37.44070715,-122.4437066,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
78,Pelican Point Beach,37.42830898,-122.4397991,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
79,Cowell Ranch Beach,37.42101853,-122.4351767,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
80,Martins Beach,37.37371681,-122.4085306,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
81,San Gregorio Private Beach,37.3365993,-122.4013304,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
82,San Gregorio State Beach,37.32390506,-122.402532,06:50 AM,04:59 PM,Clear,50,51,0,6,4.6
83,Pomponio State Beach,37.29312103,-122.4069395,06:48 AM,04:59 PM,Clear,50,56,0,6,5.6
84,Pescadero State Beach,37.26296837,-122.4136772,06:48 AM,04:59 PM,Clear,50,56,0,6,5.6
85,Pebble Beach,36.57242701,-121.9477807,06:45 AM,04:59 PM,Clear,51,52,0,11,6.6
86,Bean Hollow State Beach,37.22636846,-122.409955,06:48 AM,04:59 PM,Clear,50,56,0,6,5.6
87,Pigeon Point Beach,37.18281646,-122.3849497,06:48 AM,04:59 PM,Clear,50,56,0,6,5.6
88,Año Nuevo State Park,37.11362641,-122.3299457,06:48 AM,04:59 PM,Clear,50,56,0,6,5.6
89,Gazos Creek State Beach,37.1683354,-122.3626122,06:48 AM,04:59 PM,Clear,50,56,0,6,5.6
90,Scaroni Road beach,36.97819903,-122.1371627,06:47 AM,04:59 PM,Clear,50,56,0,4,4.9
91,Natural Bridges State Beach,36.95043481,-122.0573468,06:47 AM,04:58 PM,Clear,50,56,0,4,4.9
92,Lighthouse Field State Beach,36.95189034,-122.0285827,06:47 AM,04:58 PM,Clear,50,56,0,4,4.9
93,Santa Cruz Beach,36.96440579,-122.0177257,06:47 AM,04:58 PM,Clear,50,56,0,4,4.9
94,Twin Lakes State Beach,36.96234726,-121.9978356,06:47 AM,04:58 PM,Clear,50,56,0,4,4.9
95,Capitola State Beach,36.97124,-121.951902,06:47 AM,04:58 PM,Clear,50,56,0,4,4.9
96,Seacliff State Beach,36.97197984,-121.91399,06:46 AM,04:58 PM,Clear,47,55,0,5,3.0
97,Manresa State Beach,36.93232569,-121.862878,06:46 AM,04:58 PM,Clear,47,55,0,5,3.0
98,New Brighton State Beach,36.97873139,-121.9383879,06:47 AM,04:58 PM,Clear,50,56,0,4,4.9
99,Sunset State Beach,36.88700143,-121.8326324,06:46 AM,04:58 PM,Clear,47,55,0,5,3.0
100,Asilomar State Beach,36.61826712,-121.9419008,06:46 AM,04:59 PM,Clear,51,52,0,11,6.6
101,Carmel River State Beach,36.53817954,-121.9290057,06:45 AM,04:59 PM,Clear,51,52,0,11,6.6
102,John Little State Reserve,36.11949528,-121.6316069,06:44 AM,05:00 PM,Partly cloudy,54,52,2,5,7.2
103,Julia Pfeiffer Burns State Park,36.16594936,-121.6801454,06:45 AM,04:59 PM,Clear,51,52,0,11,6.6
104,Marina State Beach,36.69649793,-121.8094498,06:45 AM,04:58 PM,Clear,47,55,0,5,3.0
105,Monterey State Beach,36.61250151,-121.8580798,06:45 AM,04:59 PM,Clear,51,52,0,11,6.6
106,Moss Landing State Beach,36.81540267,-121.7915881,06:45 AM,04:58 PM,Clear,47,55,0,5,3.0
107,Point Lobos State Reserve,36.5165681,-121.9388299,06:45 AM,04:59 PM,Clear,51,52,0,11,6.6
108,Point Sur Lightstation State Historic Park,36.309028,-121.8954479,06:45 AM,04:59 PM,Clear,51,52,0,11,6.6
