,#YY,MM,DD,hh,mm,WSP,GST,WVHT,DPD,APD,MWD,PRES,ATMP,DEWP,Wave_Size,Wind_Speed
15355,2020,4,17,2,40,4.4,5.5,1.21,14.81,7.25,165,1013.6,14.9,12.0,Small (<2 ft),Moderate (3-19 mph)
15361,2020,4,17,3,40,4.1,5.2,1.28,14.81,7.66,171,1013.8,14.8,11.9,Small (<2 ft),Moderate (3-19 mph)
15367,2020,4,17,4,40,3.8,5.0,1.19,14.81,6.96,178,1014.3,14.7,11.7,Small (<2 ft),Moderate (3-19 mph)
15373,2020,4,17,5,40,3.1,3.8,1.28,14.81,7.64,175,1014.6,14.7,11.6,Small (<2 ft),Moderate (3-19 mph)
15379,2020,4,17,6,40,3.8,5.6,1.31,14.81,7.74,177,1014.6,14.5,11.3,Small (<2 ft),Moderate (3-19 mph)
15385,2020,4,17,7,40,4.1,5.2,1.35,14.81,7.86,157,1014.8,14.6,11.2,Small (<2 ft),Moderate (3-19 mph)
15391,2020,4,17,8,40,2.1,4.2,1.34,14.81,7.7,173,1014.4,14.3,10.6,Small (<2 ft),Ideal(<3 mph)
15397,2020,4,17,9,40,3.0,4.5,1.23,14.81,7.52,170,1013.7,14.2,10.0,Small (<2 ft),Ideal(<3 mph)
15403,2020,4,17,10,40,3.5,4.6,1.17,14.81,7.64,171,1013.7,14.1,9.8,Small (<2 ft),Moderate (3-19 mph)
15409,2020,4,17,11,40,3.7,5.0,1.19,13.79,7.75,176,1013.7,14.2,9.9,Small (<2 ft),Moderate (3-19 mph)
15415,2020,4,17,12,40,3.8,5.5,1.12,14.81,7.53,185,1013.7,14.4,9.6,Small (<2 ft),Moderate (3-19 mph)
15421,2020,4,17,13,40,2.4,3.7,1.22,14.81,8.05,168,1013.9,14.5,9.6,Small (<2 ft),Ideal(<3 mph)
15427,2020,4,17,14,40,2.9,4.0,1.12,14.81,7.87,166,1014.6,14.7,8.8,Small (<2 ft),Ideal(<3 mph)
15433,2020,4,17,15,40,3.3,4.6,1.19,14.81,8.08,161,1015.3,14.9,8.8,Small (<2 ft),Moderate (3-19 mph)
15439,2020,4,17,16,40,3.0,4.0,1.2,12.9,8.3,179,1015.9,15.1,9.5,Small (<2 ft),Ideal(<3 mph)
15445,2020,4,17,17,40,2.7,3.8,1.24,13.79,8.4,166,1016.3,15.2,9.2,Small (<2 ft),Ideal(<3 mph)
15451,2020,4,17,18,40,4.9,6.2,1.2,13.79,8.13,158,1016.5,15.0,10.6,Small (<2 ft),Moderate (3-19 mph)
15457,2020,4,17,19,40,5.5,7.1,1.08,13.79,6.87,163,1016.4,15.0,10.4,Small (<2 ft),Moderate (3-19 mph)
15463,2020,4,17,20,40,3.6,5.1,1.25,13.79,7.26,177,1016.3,14.9,11.3,Small (<2 ft),Moderate (3-19 mph)
15469,2020,4,17,21,40,5.8,7.1,1.08,14.81,6.45,152,1016.1,14.6,11.5,Small (<2 ft),Moderate (3-19 mph)
15475,2020,4,17,22,40,5.6,7.0,1.16,14.81,6.15,166,1016.1,14.0,11.8,Small (<2 ft),Moderate (3-19 mph)
15481,2020,4,17,23,40,4.4,5.5,1.1,13.79,6.42,165,1015.5,14.7,11.5,Small (<2 ft),Moderate (3-19 mph)
15487,2020,4,18,0,40,4.7,6.1,1.16,13.79,6.58,179,1015.5,15.1,11.2,Small (<2 ft),Moderate (3-19 mph)
15493,2020,4,18,1,40,4.2,5.3,1.22,13.79,6.69,164,1015.7,15.2,10.6,Small (<2 ft),Moderate (3-19 mph)
15499,2020,4,18,2,40,4.7,6.2,1.19,13.79,6.65,182,1016.2,15.2,11.2,Small (<2 ft),Moderate (3-19 mph)
15505,2020,4,18,3,40,5.8,7.0,1.2,13.79,6.48,179,1016.8,15.3,10.8,Small (<2 ft),Moderate (3-19 mph)
15511,2020,4,18,4,40,5.4,6.5,1.14,14.81,6.26,202,1017.5,15.5,8.6,Small (<2 ft),Moderate (3-19 mph)
15517,2020,4,18,5,40,4.0,5.1,1.12,12.9,7.04,170,1017.5,15.1,10.9,Small (<2 ft),Moderate (3-19 mph)
15523,2020,4,18,6,40,3.8,5.1,1.08,17.39,6.83,292,1017.7,15.1,10.1,Small (<2 ft),Moderate (3-19 mph)
15529,2020,4,18,7,40,5.1,6.2,1.12,12.9,6.51,169,1017.5,15.1,10.5,Small (<2 ft),Moderate (3-19 mph)
15535,2020,4,18,8,40,4.3,6.2,1.19,14.81,7.03,209,1017.5,15.3,8.5,Small (<2 ft),Moderate (3-19 mph)
15541,2020,4,18,9,40,5.3,7.1,1.22,13.79,6.59,179,1017.4,15.3,8.6,Small (<2 ft),Moderate (3-19 mph)
15547,2020,4,18,10,40,4.6,6.2,1.22,12.12,6.45,179,1017.1,15.1,9.0,Small (<2 ft),Moderate (3-19 mph)
15553,2020,4,18,11,40,4.7,6.8,1.28,13.79,6.7,175,1016.9,15.4,8.7,Small (<2 ft),Moderate (3-19 mph)
15559,2020,4,18,12,40,5.1,6.5,1.29,17.39,7.29,291,1017.0,15.1,9.9,Small (<2 ft),Moderate (3-19 mph)
15565,2020,4,18,13,40,5.8,7.2,1.32,17.39,7.05,275,1017.4,15.1,10.5,Small (<2 ft),Moderate (3-19 mph)
15571,2020,4,18,14,40,5.3,6.5,1.28,13.79,6.89,207,1018.0,15.0,9.5,Small (<2 ft),Moderate (3-19 mph)
15577,2020,4,18,15,40,4.6,5.8,1.33,17.39,6.41,278,1018.8,15.1,9.7,Small (<2 ft),Moderate (3-19 mph)
15583,2020,4,18,16,40,5.4,6.9,1.22,16.0,6.53,275,1019.2,15.0,10.5,Small (<2 ft),Moderate (3-19 mph)
15589,2020,4,18,17,40,5.6,6.8,1.27,17.39,6.81,272,1019.7,14.9,10.5,Small (<2 ft),Moderate (3-19 mph)
15595,2020,4,18,18,40,6.1,7.2,1.26,16.0,6.0,256,1019.7,14.8,10.8,Small (<2 ft),Moderate (3-19 mph)
15601,2020,4,18,19,40,5.7,7.1,1.25,16.0,6.08,272,1019.2,14.8,10.7,Small (<2 ft),Moderate (3-19 mph)
15607,2020,4,18,20,40,6.0,7.1,1.41,16.0,6.77,277,1018.6,14.8,10.6,Small (<2 ft),Moderate (3-19 mph)
15613,2020,4,18,21,40,6.0,7.1,1.35,16.0,6.52,281,1018.6,15.1,10.5,Small (<2 ft),Moderate (3-19 mph)
15619,2020,4,18,22,40,5.9,7.3,1.28,14.81,6.32,256,1018.2,15.3,10.7,Small (<2 ft),Moderate (3-19 mph)
15625,2020,4,18,23,40,6.6,8.0,1.35,14.81,6.47,269,1018.0,15.3,10.7,Small (<2 ft),Moderate (3-19 mph)
15631,2020,4,19,0,40,6.3,8.4,1.24,14.81,6.02,278,1018.1,15.2,10.7,Small (<2 ft),Moderate (3-19 mph)
15637,2020,4,19,1,40,6.2,7.8,1.19,14.81,5.95,284,1018.1,15.0,10.3,Small (<2 ft),Moderate (3-19 mph)
15643,2020,4,19,2,40,5.9,7.1,1.34,13.79,6.22,246,1017.9,14.9,10.2,Small (<2 ft),Moderate (3-19 mph)
15649,2020,4,19,3,40,5.4,6.7,1.36,14.81,6.32,284,1018.6,14.9,10.3,Small (<2 ft),Moderate (3-19 mph)
15655,2020,4,19,4,40,5.3,6.6,1.32,16.0,6.25,272,1019.5,15.0,9.9,Small (<2 ft),Moderate (3-19 mph)
15661,2020,4,19,5,40,5.0,6.4,1.37,14.81,6.59,280,1019.4,15.0,9.6,Small (<2 ft),Moderate (3-19 mph)
15667,2020,4,19,6,40,5.6,6.9,1.41,14.81,7.02,272,1019.4,15.0,9.9,Small (<2 ft),Moderate (3-19 mph)
15673,2020,4,19,7,40,5.8,7.2,1.28,14.81,6.47,287,1019.2,15.1,9.7,Small (<2 ft),Moderate (3-19 mph)
15679,2020,4,19,8,40,6.3,8.4,1.41,14.81,6.54,268,1019.0,14.9,9.0,Small (<2 ft),Moderate (3-19 mph)
15685,2020,4,19,9,40,3.5,4.7,1.26,14.81,6.47,283,1018.4,14.9,8.6,Small (<2 ft),Moderate (3-19 mph)
15691,2020,4,19,10,40,3.9,5.8,1.43,14.81,7.05,282,1017.8,14.8,8.2,Small (<2 ft),Moderate (3-19 mph)
15697,2020,4,19,11,40,2.6,4.0,1.21,14.81,6.77,267,1017.8,14.6,7.4,Small (<2 ft),Ideal(<3 mph)
15703,2020,4,19,12,40,3.1,4.3,1.3,14.81,7.85,260,1017.2,14.4,7.0,Small (<2 ft),Moderate (3-19 mph)
15709,2020,4,19,13,40,3.3,4.6,1.18,13.79,7.47,259,1017.8,14.4,7.4,Small (<2 ft),Moderate (3-19 mph)
15715,2020,4,19,14,40,5.0,6.2,1.29,13.79,7.99,270,1018.5,14.4,7.6,Small (<2 ft),Moderate (3-19 mph)
15721,2020,4,19,15,40,3.6,5.0,1.25,14.81,7.9,272,1019.0,14.5,7.3,Small (<2 ft),Moderate (3-19 mph)
15727,2020,4,19,16,40,2.6,3.9,1.32,14.81,8.63,268,1019.1,14.8,7.4,Small (<2 ft),Ideal(<3 mph)
15733,2020,4,19,17,40,1.9,3.5,1.42,14.81,8.9,278,1019.4,15.1,7.9,Small (<2 ft),Ideal(<3 mph)
15739,2020,4,19,18,40,4.6,6.7,1.11,14.81,7.46,260,1019.4,15.4,9.8,Small (<2 ft),Moderate (3-19 mph)
15745,2020,4,19,19,40,5.3,6.5,1.14,14.81,6.69,278,1018.8,15.3,10.1,Small (<2 ft),Moderate (3-19 mph)
15751,2020,4,19,20,40,5.6,7.1,1.29,13.79,6.75,266,1018.2,15.2,9.5,Small (<2 ft),Moderate (3-19 mph)
15757,2020,4,19,21,40,5.6,7.2,1.22,13.79,6.33,266,1018.1,15.3,9.5,Small (<2 ft),Moderate (3-19 mph)
15763,2020,4,19,22,40,6.0,7.0,1.32,12.9,6.72,275,1017.3,15.3,9.8,Small (<2 ft),Moderate (3-19 mph)
15769,2020,4,19,23,40,6.2,8.0,1.24,13.79,6.14,283,1017.0,15.4,9.8,Small (<2 ft),Moderate (3-19 mph)
15775,2020,4,20,0,40,6.9,8.8,1.17,13.79,5.55,272,1016.9,15.3,9.8,Small (<2 ft),Moderate (3-19 mph)
15781,2020,4,20,1,40,6.8,8.2,1.45,13.79,6.11,255,1016.7,15.3,10.2,Small (<2 ft),Moderate (3-19 mph)
15787,2020,4,20,2,40,7.3,8.7,1.29,13.79,5.6,265,1017.2,15.3,10.4,Small (<2 ft),Moderate (3-19 mph)
15793,2020,4,20,3,40,7.6,9.0,1.31,13.79,5.68,276,1017.6,15.2,10.7,Small (<2 ft),Moderate (3-19 mph)
15799,2020,4,20,4,40,6.4,7.5,1.38,13.79,5.64,268,1018.1,15.2,10.8,Small (<2 ft),Moderate (3-19 mph)
15805,2020,4,20,5,40,6.4,7.7,1.4,13.79,6.08,266,1018.4,15.3,10.6,Small (<2 ft),Moderate (3-19 mph)
15811,2020,4,20,6,40,6.1,7.4,1.39,12.9,5.98,278,1017.8,15.2,10.9,Small (<2 ft),Moderate (3-19 mph)
15817,2020,4,20,7,40,5.9,6.9,1.41,12.9,6.51,273,1017.9,15.2,10.3,Small (<2 ft),Moderate (3-19 mph)
15823,2020,4,20,8,40,5.7,6.9,1.27,13.79,6.02,271,1017.7,15.2,10.8,Small (<2 ft),Moderate (3-19 mph)
15829,2020,4,20,9,40,5.4,7.2,1.23,13.79,6.29,259,1017.7,15.1,10.8,Small (<2 ft),Moderate (3-19 mph)
15835,2020,4,20,10,40,6.0,7.7,1.29,12.9,6.24,270,1017.5,15.3,10.7,Small (<2 ft),Moderate (3-19 mph)
15841,2020,4,20,11,40,4.4,6.2,1.24,12.9,5.93,272,1017.8,15.1,10.0,Small (<2 ft),Moderate (3-19 mph)
15847,2020,4,20,12,40,2.9,5.0,1.2,12.9,6.24,277,1017.8,15.0,9.8,Small (<2 ft),Ideal(<3 mph)
15853,2020,4,20,13,40,5.2,6.9,1.22,12.9,6.35,261,1018.1,15.1,10.0,Small (<2 ft),Moderate (3-19 mph)
15859,2020,4,20,14,40,3.5,4.8,1.05,12.9,6.11,274,1018.5,15.3,10.2,Small (<2 ft),Moderate (3-19 mph)
15865,2020,4,20,15,40,5.6,6.8,1.23,12.9,7.07,260,1019.0,15.4,10.6,Small (<2 ft),Moderate (3-19 mph)
15871,2020,4,20,16,40,4.4,5.9,1.1,12.12,6.1,251,1019.4,15.2,10.2,Small (<2 ft),Moderate (3-19 mph)
15877,2020,4,20,17,40,6.5,7.6,1.13,12.12,5.93,269,1019.8,14.9,10.1,Small (<2 ft),Moderate (3-19 mph)
15883,2020,4,20,18,40,4.4,6.1,1.15,12.9,5.79,253,1020.3,14.9,9.9,Small (<2 ft),Moderate (3-19 mph)
15889,2020,4,20,19,40,5.9,7.1,1.19,12.9,6.02,259,1020.0,14.9,11.2,Small (<2 ft),Moderate (3-19 mph)
15895,2020,4,20,20,40,5.6,6.9,1.11,12.12,5.45,249,1019.8,14.9,11.5,Small (<2 ft),Moderate (3-19 mph)
15901,2020,4,20,21,40,7.7,9.2,1.22,12.9,6.06,253,1019.9,15.4,11.8,Small (<2 ft),Moderate (3-19 mph)
15907,2020,4,20,22,40,6.6,8.2,1.22,12.12,5.8,261,1018.9,15.6,11.6,Small (<2 ft),Moderate (3-19 mph)
15913,2020,4,20,23,40,7.0,8.5,1.18,12.9,5.47,265,1018.7,15.5,11.6,Small (<2 ft),Moderate (3-19 mph)
15919,2020,4,21,0,40,7.6,9.9,1.25,12.12,5.59,273,1018.7,15.5,11.5,Small (<2 ft),Moderate (3-19 mph)
15925,2020,4,21,1,40,8.4,10.4,1.36,11.43,5.16,280,1018.7,15.5,11.5,Small (<2 ft),Moderate (3-19 mph)
15931,2020,4,21,2,40,9.1,11.2,1.34,12.12,4.87,260,1018.7,15.3,11.3,Small (<2 ft),Moderate (3-19 mph)
15937,2020,4,21,3,40,8.2,10.0,1.32,11.43,4.89,273,1019.3,15.4,11.8,Small (<2 ft),Moderate (3-19 mph)
15943,2020,4,21,4,40,9.2,11.1,1.48,11.43,5.32,272,1019.6,15.4,12.0,Small (<2 ft),Moderate (3-19 mph)
15949,2020,4,21,5,40,0.7,12.8,1.56,17.39,5.17,236,1019.5,15.3,11.5,Small (<2 ft),Ideal(<3 mph)
15955,2020,4,21,6,40,9.7,12.2,1.72,19.05,5.34,311,1019.5,15.3,11.6,Small (<2 ft),Moderate (3-19 mph)
15961,2020,4,21,7,40,8.3,11.1,1.66,5.56,5.12,279,1019.4,15.2,11.3,Small (<2 ft),Moderate (3-19 mph)
15967,2020,4,21,8,40,8.6,10.6,1.69,6.25,5.26,290,1019.6,15.2,11.6,Small (<2 ft),Moderate (3-19 mph)
15973,2020,4,21,9,40,9.1,11.7,1.89,5.88,5.35,284,1019.2,15.1,11.5,Small (<2 ft),Moderate (3-19 mph)
15979,2020,4,21,10,40,0.2,12.1,1.94,6.25,5.34,289,1018.7,15.1,11.5,Small (<2 ft),Ideal(<3 mph)
15985,2020,4,21,11,40,9.6,11.8,1.88,6.25,5.49,281,1019.1,14.9,10.9,Small (<2 ft),Moderate (3-19 mph)
15991,2020,4,21,12,40,9.3,11.8,2.06,6.67,5.61,284,1018.8,15.0,11.3,Ideal (3-9 ft),Moderate (3-19 mph)
15997,2020,4,21,13,40,8.9,10.7,1.89,7.14,5.58,282,1018.9,14.9,11.1,Small (<2 ft),Moderate (3-19 mph)
16003,2020,4,21,14,40,6.6,8.4,2.11,17.39,6.34,275,1019.3,14.9,11.1,Ideal (3-9 ft),Moderate (3-19 mph)
16009,2020,4,21,15,40,7.0,8.8,2.14,17.39,6.35,273,1020.0,15.1,11.6,Ideal (3-9 ft),Moderate (3-19 mph)
16015,2020,4,21,16,40,6.4,8.1,1.93,7.69,5.93,284,1020.4,15.2,11.6,Small (<2 ft),Moderate (3-19 mph)
16021,2020,4,21,17,40,6.7,8.6,1.87,17.39,6.14,257,1020.5,15.1,11.2,Small (<2 ft),Moderate (3-19 mph)
16027,2020,4,21,18,40,5.4,6.8,2.02,17.39,6.74,237,1021.1,15.2,11.2,Ideal (3-9 ft),Moderate (3-19 mph)
16033,2020,4,21,19,40,6.1,7.7,1.77,7.69,6.64,280,1020.9,15.3,11.6,Small (<2 ft),Moderate (3-19 mph)
16039,2020,4,21,20,40,6.3,7.9,1.71,17.39,6.08,258,1020.4,15.4,11.9,Small (<2 ft),Moderate (3-19 mph)
16045,2020,4,21,21,40,7.0,8.4,2.07,17.39,6.57,269,1019.8,15.4,12.1,Ideal (3-9 ft),Moderate (3-19 mph)
16051,2020,4,21,22,40,7.7,9.5,1.91,17.39,6.36,271,1019.1,15.4,12.2,Small (<2 ft),Moderate (3-19 mph)
16057,2020,4,21,23,40,7.2,8.6,1.96,16.0,6.17,245,1018.6,15.5,12.5,Small (<2 ft),Moderate (3-19 mph)
16063,2020,4,22,0,40,6.8,8.3,1.87,16.0,6.23,268,1018.6,15.6,12.9,Small (<2 ft),Moderate (3-19 mph)
16069,2020,4,22,1,40,8.3,9.9,1.88,16.0,6.32,265,1018.5,15.5,13.0,Small (<2 ft),Moderate (3-19 mph)
16075,2020,4,22,2,40,7.4,8.8,2.1,16.0,6.6,265,1018.6,15.5,13.3,Ideal (3-9 ft),Moderate (3-19 mph)
16081,2020,4,22,3,40,6.3,7.9,2.02,16.0,6.56,267,1019.3,15.5,13.3,Ideal (3-9 ft),Moderate (3-19 mph)
16087,2020,4,22,4,40,5.1,6.2,1.96,16.0,6.66,272,1019.8,15.9,13.7,Small (<2 ft),Moderate (3-19 mph)
16093,2020,4,22,5,40,3.7,5.0,2.11,16.0,6.83,283,1019.8,15.7,13.4,Ideal (3-9 ft),Moderate (3-19 mph)
16099,2020,4,22,6,40,4.9,6.2,2.09,16.0,6.86,273,1019.9,15.7,13.4,Ideal (3-9 ft),Moderate (3-19 mph)
16105,2020,4,22,7,40,4.9,6.1,2.25,8.33,7.03,283,1019.9,15.5,13.3,Ideal (3-9 ft),Moderate (3-19 mph)
16111,2020,4,22,8,40,5.7,7.1,2.05,16.0,6.92,271,1019.3,15.3,13.2,Ideal (3-9 ft),Moderate (3-19 mph)
16117,2020,4,22,9,40,6.1,7.5,2.16,8.33,6.97,284,1019.0,15.3,13.3,Ideal (3-9 ft),Moderate (3-19 mph)
16123,2020,4,22,10,40,4.5,6.1,2.06,8.33,6.94,283,1019.1,15.3,13.4,Ideal (3-9 ft),Moderate (3-19 mph)
16129,2020,4,22,11,40,3.9,5.3,2.16,8.33,7.37,278,1018.8,15.3,13.4,Ideal (3-9 ft),Moderate (3-19 mph)
16135,2020,4,22,12,40,4.3,5.5,2.16,9.09,7.51,281,1019.2,15.5,13.7,Ideal (3-9 ft),Moderate (3-19 mph)
16141,2020,4,22,13,40,3.6,4.6,2.08,14.81,8.09,256,1019.0,15.9,14.1,Ideal (3-9 ft),Moderate (3-19 mph)
16147,2020,4,22,14,40,3.4,5.3,2.09,14.81,7.97,270,1019.2,16.2,14.4,Ideal (3-9 ft),Moderate (3-19 mph)
16153,2020,4,22,15,40,2.5,3.4,1.87,14.81,7.6,260,1019.7,16.3,14.3,Small (<2 ft),Ideal(<3 mph)
16159,2020,4,22,16,40,2.6,3.3,1.86,14.81,7.74,257,1019.9,16.3,14.3,Small (<2 ft),Ideal(<3 mph)
16165,2020,4,22,17,40,3.6,4.8,1.89,16.0,7.61,263,1020.0,16.4,14.4,Small (<2 ft),Moderate (3-19 mph)
16171,2020,4,22,18,40,3.5,4.4,1.9,14.81,7.58,260,1020.0,16.6,14.2,Small (<2 ft),Moderate (3-19 mph)
16177,2020,4,22,19,40,3.3,4.5,1.72,16.0,7.12,255,1019.5,16.7,14.6,Small (<2 ft),Moderate (3-19 mph)
16183,2020,4,22,20,40,3.8,5.0,1.65,14.81,6.95,268,1019.2,16.9,14.5,Small (<2 ft),Moderate (3-19 mph)
16189,2020,4,22,21,40,3.7,5.0,1.52,14.81,6.85,263,1018.5,17.0,14.7,Small (<2 ft),Moderate (3-19 mph)
16195,2020,4,22,22,40,4.9,6.5,1.58,14.81,6.97,243,1018.1,17.0,14.6,Small (<2 ft),Moderate (3-19 mph)
16201,2020,4,22,23,40,5.5,7.0,1.7,16.0,7.42,263,1017.7,17.2,14.6,Small (<2 ft),Moderate (3-19 mph)
16207,2020,4,23,0,40,5.8,7.2,1.56,16.0,6.96,256,1017.2,17.4,14.5,Small (<2 ft),Moderate (3-19 mph)
16213,2020,4,23,1,40,4.9,6.1,1.49,16.0,6.83,264,1017.1,17.5,14.7,Small (<2 ft),Moderate (3-19 mph)
16219,2020,4,23,2,40,5.0,6.2,1.56,14.81,6.99,268,1016.8,16.9,14.9,Small (<2 ft),Moderate (3-19 mph)
16225,2020,4,23,3,40,4.8,6.3,1.54,14.81,6.98,279,1017.2,16.8,15.0,Small (<2 ft),Moderate (3-19 mph)
16231,2020,4,23,4,40,3.2,5.0,1.52,14.81,6.81,279,1017.6,16.9,14.9,Small (<2 ft),Moderate (3-19 mph)
16237,2020,4,23,5,40,4.0,5.4,1.44,14.81,6.76,258,1017.7,16.9,15.0,Small (<2 ft),Moderate (3-19 mph)
16243,2020,4,23,6,40,2.6,3.8,1.56,14.81,6.66,277,1017.5,16.6,14.8,Small (<2 ft),Ideal(<3 mph)
16249,2020,4,23,7,40,3.8,4.9,1.48,14.81,6.61,255,1017.2,16.5,14.7,Small (<2 ft),Moderate (3-19 mph)
16255,2020,4,23,8,40,3.3,4.8,1.52,14.81,6.36,267,1016.9,16.6,14.7,Small (<2 ft),Moderate (3-19 mph)
16261,2020,4,23,9,40,1.9,3.3,1.72,14.81,6.92,249,1016.4,16.8,14.9,Small (<2 ft),Ideal(<3 mph)
16267,2020,4,23,10,40,2.6,4.2,1.81,14.81,6.83,272,1015.6,16.8,15.0,Small (<2 ft),Ideal(<3 mph)
16273,2020,4,23,11,40,3.2,4.7,1.91,14.81,7.35,247,1015.5,16.9,15.0,Small (<2 ft),Moderate (3-19 mph)
16279,2020,4,23,12,40,3.6,5.0,2.01,8.33,7.47,281,1015.6,16.9,14.8,Ideal (3-9 ft),Moderate (3-19 mph)
16285,2020,4,23,13,40,4.4,5.6,1.86,8.33,7.13,280,1015.5,17.0,14.9,Small (<2 ft),Moderate (3-19 mph)
16291,2020,4,23,14,40,4.9,6.5,1.76,8.33,6.84,280,1015.7,17.0,15.0,Small (<2 ft),Moderate (3-19 mph)
16297,2020,4,23,15,40,4.3,5.4,1.77,8.33,6.93,285,1016.0,17.0,15.0,Small (<2 ft),Moderate (3-19 mph)
16303,2020,4,23,16,40,2.1,2.8,1.77,8.33,7.12,278,1015.7,17.1,14.9,Small (<2 ft),Ideal(<3 mph)
16309,2020,4,23,17,40,2.5,3.5,1.77,7.69,7.05,283,1015.8,17.5,15.1,Small (<2 ft),Ideal(<3 mph)
16315,2020,4,23,18,40,3.4,4.7,1.92,8.33,7.0,283,1015.6,17.5,15.1,Small (<2 ft),Moderate (3-19 mph)
16321,2020,4,23,19,40,2.6,3.8,2.05,8.33,7.12,284,1014.7,17.6,15.0,Ideal (3-9 ft),Ideal(<3 mph)
16327,2020,4,23,20,40,3.7,5.3,2.06,9.09,7.13,281,1014.3,18.0,15.5,Ideal (3-9 ft),Moderate (3-19 mph)
16333,2020,4,23,21,40,4.0,4.9,1.82,9.09,6.83,282,1013.4,17.8,15.4,Small (<2 ft),Moderate (3-19 mph)
16339,2020,4,23,22,40,4.5,5.8,1.79,9.09,6.84,278,1012.6,18.0,15.3,Small (<2 ft),Moderate (3-19 mph)
16345,2020,4,23,23,40,5.5,7.0,1.82,8.33,6.81,287,1012.1,17.6,15.3,Small (<2 ft),Moderate (3-19 mph)
16351,2020,4,24,0,40,5.1,6.5,1.62,13.79,6.85,271,1011.7,17.7,15.4,Small (<2 ft),Moderate (3-19 mph)
16357,2020,4,24,1,40,4.5,5.4,1.62,9.09,6.85,276,1011.5,17.7,15.5,Small (<2 ft),Moderate (3-19 mph)
16363,2020,4,24,2,40,4.4,5.6,1.6,8.33,7.05,283,1011.9,17.4,15.4,Small (<2 ft),Moderate (3-19 mph)
16369,2020,4,24,3,40,2.9,4.2,1.55,8.33,7.03,280,1012.3,17.3,15.4,Small (<2 ft),Ideal(<3 mph)
16375,2020,4,24,4,40,2.2,2.9,1.63,9.09,7.16,283,1012.9,17.2,15.4,Small (<2 ft),Ideal(<3 mph)
16381,2020,4,24,5,40,2.4,3.2,1.67,8.33,7.39,288,1012.8,17.1,15.6,Small (<2 ft),Ideal(<3 mph)
16387,2020,4,24,6,40,2.5,3.3,1.6,12.9,7.1,261,1012.4,16.9,15.5,Small (<2 ft),Ideal(<3 mph)
16393,2020,4,24,7,40,3.8,4.7,1.69,9.09,6.98,287,1012.2,16.7,15.2,Small (<2 ft),Moderate (3-19 mph)
16399,2020,4,24,8,40,2.6,3.7,1.7,7.69,6.8,288,1011.9,16.8,15.2,Small (<2 ft),Ideal(<3 mph)
16405,2020,4,24,9,40,1.0,1.8,1.73,13.79,7.06,253,1011.6,16.8,15.1,Small (<2 ft),Ideal(<3 mph)
16411,2020,4,24,10,40,0.7,1.5,1.83,9.09,7.16,285,1011.7,16.9,15.4,Small (<2 ft),Ideal(<3 mph)
16417,2020,4,24,11,40,0.6,1.1,1.72,13.79,7.32,247,1011.8,16.9,15.4,Small (<2 ft),Ideal(<3 mph)
16423,2020,4,24,12,40,2.3,3.2,1.77,9.09,7.18,285,1011.8,17.2,15.8,Small (<2 ft),Ideal(<3 mph)
16429,2020,4,24,13,40,3.0,4.5,1.81,9.09,7.35,280,1012.1,17.5,16.2,Small (<2 ft),Ideal(<3 mph)
16435,2020,4,24,14,40,3.2,4.4,1.69,8.33,7.24,283,1012.6,17.9,16.5,Small (<2 ft),Moderate (3-19 mph)
16441,2020,4,24,15,40,2.9,4.4,1.63,9.09,7.43,276,1012.8,17.9,16.6,Small (<2 ft),Ideal(<3 mph)
16447,2020,4,24,16,40,2.3,3.3,1.63,8.33,7.72,277,1013.0,18.1,16.7,Small (<2 ft),Ideal(<3 mph)
16453,2020,4,24,17,40,0.7,1.5,1.67,16.0,7.69,261,1013.3,18.3,16.7,Small (<2 ft),Ideal(<3 mph)
16459,2020,4,24,18,40,2.0,3.0,1.68,16.0,7.53,259,1013.3,18.4,16.9,Small (<2 ft),Ideal(<3 mph)
16465,2020,4,24,19,40,2.6,3.8,1.68,16.0,7.54,279,1013.2,17.8,16.7,Small (<2 ft),Ideal(<3 mph)
16471,2020,4,24,20,40,1.5,2.3,1.64,14.81,7.64,243,1012.8,18.0,16.8,Small (<2 ft),Ideal(<3 mph)
16477,2020,4,24,21,40,4.1,5.4,1.75,14.81,7.81,251,1012.7,18.9,16.2,Small (<2 ft),Moderate (3-19 mph)
16483,2020,4,24,22,40,4.0,5.1,1.67,14.81,7.93,264,1012.2,19.1,17.0,Small (<2 ft),Moderate (3-19 mph)
16489,2020,4,24,23,40,4.0,5.0,1.5,14.81,7.31,246,1011.8,18.9,16.6,Small (<2 ft),Moderate (3-19 mph)
16495,2020,4,25,0,40,3.1,3.9,1.54,14.81,7.5,267,1011.5,19.0,16.7,Small (<2 ft),Moderate (3-19 mph)
16501,2020,4,25,1,40,2.3,2.8,1.52,14.81,8.16,257,1011.7,19.0,16.7,Small (<2 ft),Ideal(<3 mph)
16507,2020,4,25,2,40,2.4,3.3,1.63,14.81,8.63,259,1011.8,18.7,16.8,Small (<2 ft),Ideal(<3 mph)
16513,2020,4,25,3,40,2.4,3.0,1.49,14.81,8.18,280,1012.3,18.4,16.8,Small (<2 ft),Ideal(<3 mph)
16519,2020,4,25,4,40,2.7,3.3,1.44,13.79,8.35,283,1012.9,18.5,16.9,Small (<2 ft),Ideal(<3 mph)
