,#YY,MM,DD,hh,mm,WSP,GST,WVHT,DPD,APD,MWD,PRES,ATMP,DEWP,Wave_Size,Wind_Speed
274,2020,1,2,21,40,4.0,5.3,2.96,17.39,9.87,273,1013.6,15.1,11.9,Ideal (3-9 ft),Moderate (3-19 mph)
280,2020,1,2,22,40,4.5,6.1,2.76,19.05,9.57,282,1014.1,15.2,12.4,Ideal (3-9 ft),Moderate (3-19 mph)
286,2020,1,2,23,40,4.2,5.2,2.49,17.39,9.36,275,1014.6,15.3,12.6,Ideal (3-9 ft),Moderate (3-19 mph)
292,2020,1,3,0,40,3.5,5.0,2.57,19.05,9.0,281,1014.3,15.2,12.8,Ideal (3-9 ft),Moderate (3-19 mph)
298,2020,1,3,1,40,4.8,6.1,2.71,17.39,9.93,268,1015.5,15.3,12.9,Ideal (3-9 ft),Moderate (3-19 mph)
304,2020,1,3,2,40,4.9,6.1,2.76,17.39,9.69,274,1016.3,15.3,13.1,Ideal (3-9 ft),Moderate (3-19 mph)
310,2020,1,3,3,40,4.0,4.9,2.91,17.39,10.26,274,1017.3,15.4,13.3,Ideal (3-9 ft),Moderate (3-19 mph)
316,2020,1,3,4,40,2.7,3.8,2.53,17.39,9.59,278,1017.9,15.4,13.6,Ideal (3-9 ft),Ideal(<3 mph)
322,2020,1,3,5,40,2.0,2.7,2.51,17.39,9.97,279,1018.6,15.4,13.7,Ideal (3-9 ft),Ideal(<3 mph)
328,2020,1,3,6,40,2.2,3.0,2.27,17.39,9.87,270,1018.6,15.3,13.7,Ideal (3-9 ft),Ideal(<3 mph)
334,2020,1,3,7,40,1.5,3.0,2.54,16.0,10.21,270,1019.0,15.3,13.8,Ideal (3-9 ft),Ideal(<3 mph)
340,2020,1,3,8,40,0.6,1.7,2.59,17.39,10.24,269,1019.4,15.3,13.7,Ideal (3-9 ft),Ideal(<3 mph)
346,2020,1,3,9,40,1.6,2.8,2.52,17.39,9.99,280,1019.6,15.3,13.9,Ideal (3-9 ft),Ideal(<3 mph)
352,2020,1,3,10,40,2.0,2.8,2.33,17.39,10.03,274,1019.6,15.2,14.0,Ideal (3-9 ft),Ideal(<3 mph)
358,2020,1,3,11,40,1.8,2.8,2.12,17.39,9.05,282,1019.4,15.2,14.1,Ideal (3-9 ft),Ideal(<3 mph)
364,2020,1,3,12,40,2.0,2.7,2.61,17.39,10.4,282,1019.7,15.2,14.2,Ideal (3-9 ft),Ideal(<3 mph)
370,2020,1,3,13,40,1.9,2.9,2.52,17.39,9.7,271,1020.6,15.2,14.1,Ideal (3-9 ft),Ideal(<3 mph)
376,2020,1,3,14,40,1.6,2.8,2.15,17.39,9.15,266,1021.5,15.4,14.3,Ideal (3-9 ft),Ideal(<3 mph)
382,2020,1,3,15,40,1.9,2.9,2.05,17.39,9.53,269,1022.3,15.5,14.5,Ideal (3-9 ft),Ideal(<3 mph)
388,2020,1,3,16,40,0.6,1.3,1.96,16.0,9.61,256,1023.6,15.7,14.5,Small (<2 ft),Ideal(<3 mph)
394,2020,1,3,17,40,1.3,2.4,2.06,16.0,10.22,250,1024.1,15.8,14.3,Ideal (3-9 ft),Ideal(<3 mph)
400,2020,1,3,18,40,0.4,1.2,1.96,16.0,10.36,269,1024.1,16.2,14.1,Small (<2 ft),Ideal(<3 mph)
406,2020,1,3,19,40,0.1,0.9,1.94,16.0,10.33,274,1023.4,16.2,14.2,Small (<2 ft),Ideal(<3 mph)
412,2020,1,3,20,40,0.3,1.1,1.7,16.0,9.9,261,1022.9,16.4,13.4,Small (<2 ft),Ideal(<3 mph)
418,2020,1,3,21,40,1.4,2.3,1.95,16.0,10.68,267,1022.9,16.7,13.0,Small (<2 ft),Ideal(<3 mph)
424,2020,1,3,22,40,1.5,2.3,1.72,16.0,9.76,270,1023.1,16.6,13.7,Small (<2 ft),Ideal(<3 mph)
430,2020,1,3,23,40,1.7,2.4,1.81,14.81,10.16,274,1023.7,16.5,14.0,Small (<2 ft),Ideal(<3 mph)
436,2020,1,4,0,40,0.7,1.4,1.95,16.0,10.31,273,1024.1,16.4,14.1,Small (<2 ft),Ideal(<3 mph)
442,2020,1,4,1,40,3.0,3.8,1.73,16.0,9.94,280,1024.2,14.9,13.6,Small (<2 ft),Ideal(<3 mph)
448,2020,1,4,2,40,2.6,3.7,1.71,16.0,10.09,275,1024.8,13.5,12.8,Small (<2 ft),Ideal(<3 mph)
454,2020,1,4,3,40,1.8,2.9,1.78,16.0,10.34,270,1025.4,13.1,12.5,Small (<2 ft),Ideal(<3 mph)
460,2020,1,4,4,40,2.3,3.4,1.56,14.81,9.66,280,1025.7,13.0,12.5,Small (<2 ft),Ideal(<3 mph)
466,2020,1,4,5,40,1.4,2.3,1.91,14.81,11.1,269,1026.2,12.9,12.4,Small (<2 ft),Ideal(<3 mph)
472,2020,1,4,6,40,2.1,3.4,1.48,14.81,9.8,275,1026.4,12.8,12.3,Small (<2 ft),Ideal(<3 mph)
478,2020,1,4,7,40,2.6,3.8,1.45,14.81,10.21,276,1026.3,13.1,12.6,Small (<2 ft),Ideal(<3 mph)
484,2020,1,4,8,40,2.8,4.0,1.55,14.81,10.2,267,1026.2,13.0,12.5,Small (<2 ft),Ideal(<3 mph)
490,2020,1,4,9,40,3.7,5.6,1.62,13.79,10.28,264,1026.3,13.1,12.6,Small (<2 ft),Moderate (3-19 mph)
496,2020,1,4,10,40,3.3,4.6,1.66,13.79,10.51,267,1026.1,13.4,12.9,Small (<2 ft),Moderate (3-19 mph)
502,2020,1,4,11,40,4.3,6.0,1.54,13.79,10.17,260,1026.0,14.0,13.5,Small (<2 ft),Moderate (3-19 mph)
508,2020,1,4,12,40,4.7,5.6,1.52,13.79,9.76,272,1026.0,13.8,12.8,Small (<2 ft),Moderate (3-19 mph)
514,2020,1,4,13,40,3.2,4.8,1.57,13.79,9.2,264,1026.2,13.6,12.7,Small (<2 ft),Moderate (3-19 mph)
520,2020,1,4,14,40,2.3,3.2,1.48,16.0,9.43,262,1026.6,14.0,13.0,Small (<2 ft),Ideal(<3 mph)
526,2020,1,4,15,40,4.4,5.6,1.54,14.81,10.12,259,1027.4,14.3,13.0,Small (<2 ft),Moderate (3-19 mph)
532,2020,1,4,16,40,5.4,6.7,1.27,16.0,8.96,266,1028.0,14.6,12.9,Small (<2 ft),Moderate (3-19 mph)
538,2020,1,4,17,40,4.6,6.3,1.32,14.81,9.01,265,1028.8,14.5,12.4,Small (<2 ft),Moderate (3-19 mph)
544,2020,1,4,18,40,3.0,4.0,1.39,14.81,9.43,270,1028.2,13.9,11.9,Small (<2 ft),Ideal(<3 mph)
550,2020,1,4,19,40,2.0,2.8,1.4,16.0,9.82,265,1027.1,14.3,12.2,Small (<2 ft),Ideal(<3 mph)
556,2020,1,4,20,40,3.9,5.1,1.42,13.79,9.8,268,1026.2,14.6,12.3,Small (<2 ft),Moderate (3-19 mph)
562,2020,1,4,21,40,3.0,3.8,1.45,14.81,9.77,262,1025.3,14.7,12.5,Small (<2 ft),Ideal(<3 mph)
568,2020,1,4,22,40,3.7,4.4,1.2,13.79,9.05,255,1025.0,14.7,12.5,Small (<2 ft),Moderate (3-19 mph)
574,2020,1,4,23,40,5.3,6.4,1.25,13.79,9.4,283,1025.3,14.9,12.7,Small (<2 ft),Moderate (3-19 mph)
580,2020,1,5,0,40,5.5,7.0,1.33,13.79,8.29,283,1025.1,14.7,12.4,Small (<2 ft),Moderate (3-19 mph)
586,2020,1,5,1,40,5.0,6.7,1.33,14.81,7.9,239,1025.2,14.6,12.4,Small (<2 ft),Moderate (3-19 mph)
592,2020,1,5,2,40,5.8,7.1,1.31,13.79,7.71,258,1025.2,14.6,12.7,Small (<2 ft),Moderate (3-19 mph)
