beach_id,Beach_Name,Latitude,Longitude,Sunrise,Sunset,Weather_Description,Temperature,Water_Temperature,Cloud_Cover,Wind_Speed,Wave_Height
58,Pomponio State Beach,37.29312103,-122.4069395,6:52 AM,4:57 PM,Clear,51,52,0,9,4.3
59,Pescadero State Beach,37.26296837,-122.4136772,6:52 AM,4:57 PM,Clear,51,52,0,9,4.3
60,Bean Hollow State Beach,37.22636846,-122.409955,6:52 AM,4:57 PM,Clear,51,52,0,9,4.3
61,Pigeon Point Beach,37.18281646,-122.3849497,6:52 AM,4:57 PM,Clear,51,52,0,9,4.3
62,Gazos Creek State Beach,37.1683354,-122.3626122,6:52 AM,4:57 PM,Clear,51,52,0,9,4.3
63,Año Nuevo State Park,37.11362641,-122.3299457,6:52 AM,4:57 PM,Clear,51,52,0,9,4.3
64,New Brighton State Beach,36.97873139,-121.9383879,6:51 AM,4:56 PM,Clear,51,51,0,7,3.9
65,Capitola State Beach,36.971483,-121.951613,6:51 AM,4:56 PM,Clear,51,51,0,7,3.9
66,Seacliff State Beach,36.97197984,-121.91399,6:50 AM,4:55 PM,Clear,49,51,0,8,3
67,Santa Cruz Beach,36.96440579,-122.0177257,6:51 AM,4:56 PM,Clear,51,51,0,7,3.9
68,Twin Lakes State Beach,36.96234726,-121.9978356,6:51 AM,4:56 PM,Clear,51,51,0,7,3.9
69,Lighthouse Field State Beach,36.95189034,-122.0285827,6:51 AM,4:56 PM,Clear,51,51,0,7,3.9
70,Natural Bridges State Beach,36.95043481,-122.0573468,6:51 AM,4:56 PM,Clear,51,51,0,7,3.9
71,Manresa State Beach,36.93232569,-121.862878,6:50 AM,4:55 PM,Clear,49,51,0,8,3
72,Sunset State Beach,36.88700143,-121.8326324,6:50 AM,4:55 PM,Clear,49,51,0,8,3
73,Zmudowski State Beach,36.84292083,-121.805257,6:50 AM,4:55 PM,Clear,49,51,0,8,3
74,Moss Landing State Beach,36.81540267,-121.7915881,6:50 AM,4:55 PM,Clear,49,51,0,8,3
75,Salinas River State Beach,36.7754768,-121.7952683,6:49 AM,4:55 PM,Clear,49,51,0,8,3
76,Marina State Beach,36.69649793,-121.8094498,6:50 AM,4:56 PM,Clear,49,51,0,8,3
77,Asilomar State Beach,36.61826712,-121.9419008,6:50 AM,4:56 PM,Clear,54,51,0,13,4.9
78,Monterey State Beach,36.61250151,-121.8580798,6:49 AM,4:56 PM,Clear,54,51,0,13,4.9
79,Pebble Beach,36.57242701,-121.9477807,6:49 AM,4:56 PM,Clear,54,51,0,13,4.9
80,Carmel River State Beach,36.53817954,-121.9290057,6:49 AM,4:56 PM,Clear,54,51,0,13,4.9
81,Point Sur Lightstation State Historic Park,36.309028,-121.8954479,6:49 AM,4:56 PM,Clear,54,51,0,13,4.9
82,Sand Dollar Beach,35.92314004,-121.4685117,6:44 AM,4:55 PM,Clear,53,52,0,6,4.6
83,William Randolph Hearst Memorial State Beach,35.64417168,-121.1880653,6:44 AM,4:55 PM,Clear,53,52,0,6,4.6
84,Cayucos State Beach,35.44857182,-120.9059346,6:43 AM,4:55 PM,Clear,53,51,0,8,4.6
85,Morro Strand State Beach,35.39210458,-120.8668416,6:43 AM,4:55 PM,Clear,53,51,0,8,4.6
86,Morro Rock Beach,35.37284552,-120.865919,6:43 AM,4:55 PM,Clear,53,51,0,8,4.6
87,Ávila Beach,35.18010746,-120.7316191,6:42 AM,4:55 PM,Clear,53,51,0,6,4.3
88,Shell Beach,35.17215991,-120.70133,6:42 AM,4:55 PM,Clear,53,51,0,6,4.3
89,Pismo Beach Pier,35.139858,-120.644774,6:41 AM,4:54 PM,Clear,53,51,0,6,3.9
90,Rancho Guadalupe Dunes County Park,34.96514896,-120.6515443,6:41 AM,4:54 PM,Clear,53,51,0,6,3.9
91,Point Sal State Beach,34.90204849,-120.6548958,6:41 AM,4:54 PM,Clear,53,51,0,6,3.9
92,Surf Beach,34.68424954,-120.6064212,6:40 AM,4:56 PM,Clear,55,52,0,5,4.9
93,Jalama Beach County Park,34.51081204,-120.5018918,6:40 AM,4:56 PM,Clear,55,52,0,5,4.9
94,Gaviota State Park,34.47353149,-120.2296213,6:38 AM,4:54 PM,Clear,57,53,0,4,2.3
95,Refugio State Beach,34.46328972,-120.0701569,6:38 AM,4:54 PM,Clear,57,53,0,4,2.3
96,El Capitán State Beach,34.46061439,-120.0248308,6:37 AM,4:53 PM,Clear,58,54,0,4,1.6
97,Sands Beach,34.407591,-119.879251,6:37 AM,4:53 PM,Clear,58,54,0,4,1.6
98,Summerland Beach,34.42038268,-119.6024139,6:36 AM,4:52 PM,Clear,56,60,0,6,1.3
99,Butterfly Beach,34.4177324,-119.6494454,6:36 AM,4:52 PM,Clear,56,60,0,6,1.3
100,Goleta Beach Park,34.41681648,-119.8324352,6:37 AM,4:53 PM,Clear,58,54,0,4,1.6
101,East Beach,34.41634896,-119.6804242,6:36 AM,4:52 PM,Clear,56,60,0,6,1.3
102,West Beach,34.40535704,-119.6973811,6:36 AM,4:52 PM,Clear,56,60,0,6,1.3
103,Arroyo Burro Beach,34.4026134,-119.7430753,6:36 AM,4:52 PM,Clear,56,60,0,6,1.3
104,Leadbetter Beach,34.40248784,-119.699369,6:36 AM,4:52 PM,Clear,56,60,0,6,1.3
105,Carpinteria State Beach,34.39281987,-119.5240894,6:35 AM,4:51 PM,Clear,56,60,0,6,1.3
106,Rincon Beach Park,34.3801909,-119.4831245,6:35 AM,4:51 PM,Clear,56,60,0,6,1.3
107,Emma Wood State Beach,34.29332738,-119.3400669,6:34 AM,4:51 PM,Clear,60,57,0,11,2.6
108,San Buenaventura State Beach,34.26991871,-119.2768745,6:34 AM,4:51 PM,Clear,60,57,0,11,2.6
109,McGrath State Beach,34.2210903,-119.259957,6:34 AM,4:51 PM,Clear,60,57,0,11,2.6
110,Oxnard Beach Park,34.17672826,-119.2371455,6:33 AM,4:51 PM,Clear,60,57,0,11,2.6
111,Silver Strand Beach,34.150945,-119.219362,6:33 AM,4:51 PM,Clear,62,57,0,30,2
112,Port Hueneme Beach Park,34.14254714,-119.1960592,6:33 AM,4:51 PM,Clear,62,57,0,30,2
113,Topanga Beach,34.038412,-118.582189,6:30 AM,4:48 PM,Clear,60,59,0,9,1
114,County Line Beach,34.051417,-118.9601453,6:33 AM,4:50 PM,Clear,62,57,0,30,2
115,Leo Carrillo State Park,34.04417165,-118.9353832,6:33 AM,4:50 PM,Clear,62,57,0,30,2
116,El Pescador State Beach,34.04055637,-118.8920206,6:33 AM,4:50 PM,Clear,62,57,0,30,2
117,La Piedra State Beach,34.03985483,-118.8874178,6:33 AM,4:50 PM,Clear,62,57,0,30,2
118,Robert Meyer Memorial State Beach,34.03869785,-118.8758222,6:33 AM,4:50 PM,Clear,62,57,0,30,2
119,Broad Beach,34.0378004,-118.8678132,6:33 AM,4:50 PM,Clear,62,57,0,30,2
120,Will Rogers State Beach,34.03695749,-118.5375772,6:30 AM,4:48 PM,Clear,60,59,0,9,1
121,Lechuza Beach,34.03610607,-118.8662851,6:33 AM,4:50 PM,Clear,62,57,0,30,2
122,Malibu Lagoon State Beach,34.03397257,-118.6803286,6:30 AM,4:48 PM,Clear,60,59,0,9,1
123,Palisades Park,34.02321351,-118.5095999,6:30 AM,4:48 PM,Clear,60,59,0,9,1
124,Zuma Beach County Park,34.02190008,-118.8306025,6:33 AM,4:50 PM,Clear,62,57,0,30,2
125,Santa Monica State Beach,34.01453645,-118.5023759,6:30 AM,4:48 PM,Clear,60,59,0,9,1
126,Point Dume State Beach,34.01137544,-118.8169822,6:33 AM,4:50 PM,Clear,62,57,0,30,2
127,Venice Beach,33.97918361,-118.469256,6:30 AM,4:48 PM,Clear,60,59,0,9,1
128,Playa Del Rey,33.953557,-118.4489999,6:30 AM,4:48 PM,Clear,60,59,0,9,1
129,Dockweiler Beach,33.93020159,-118.4361253,6:30 AM,4:48 PM,Clear,62,59,0,6,2.3
130,El Segundo Beach,33.91567244,-118.4299455,6:30 AM,4:48 PM,Clear,62,59,0,6,2.3
131,El Porto Beach,33.90327605,-118.4218,6:30 AM,4:48 PM,Clear,62,59,0,6,2.3
132,Manhattan Beach Pier,33.884653,-118.413534,6:30 AM,4:48 PM,Clear,62,59,0,6,2.3
133,Redondo Beach Pier,33.836274,-118.390844,6:29 AM,4:48 PM,Clear,62,59,0,6,2.3
134,Hermosa Beach Pier,33.86262759,-118.4029938,6:29 AM,4:48 PM,Clear,62,59,0,6,2.3
135,Torrance County Beach,33.81375651,-118.3917316,6:29 AM,4:48 PM,Clear,62,59,0,6,2.3
136,RAT Beach,33.80419646,-118.3947961,6:29 AM,4:48 PM,Clear,62,59,0,6,2.3
137,Seal Beach,33.73288587,-118.0944039,6:28 AM,4:47 PM,Clear,63,59,0,18,2.6
138,Royal Palms Beach Park,33.72059658,-118.3280213,6:29 AM,4:48 PM,Clear,62,59,0,6,2.3
