Beach_ID,Beach_Name,Latitude,Longitude,Sunrise,Sunset,Weather_Description,Temperature,Water_Temperature,Cloud_Cover,Wind_Speed,Wave_Height
19,Glass Beach,39.45277476,-123.8133215,07:01 AM,04:59 PM,Clear,49,53,0,4,4.3
20,Gualala Point Regional Park,38.76076189,-123.526723,06:59 AM,05:00 PM,Clear,51,49,0,5,4.3
21,Kruse Rhododendron State Reserve,38.59299403,-123.3311264,06:57 AM,04:59 PM,Clear,51,49,0,4,4.3
22,Salt Point State Park,38.57666921,-123.3317278,06:57 AM,04:59 PM,Clear,51,49,0,4,4.3
23,Stillwater Cove Regional Park,38.54852987,-123.2943892,06:56 AM,04:59 PM,Clear,49,49,0,3,3.3
24,Clam Beach,40.99536694,-124.1109588,07:06 AM,04:57 PM,Clear,48,47,0,6,4.6
25,Fort Ross State Historic Park,38.51617729,-123.2460254,06:56 AM,04:59 PM,Clear,49,49,0,3,3.3
26,Goat Rock Beach,38.44711794,-123.1265214,06:55 AM,04:59 PM,Clear,51,49,0,3,3.3
27,Blind Beach,38.43699972,-123.1223772,06:55 AM,04:59 PM,Clear,51,49,0,3,3.3
28,Shell Beach,38.50306292,-123.1417195,06:56 AM,04:59 PM,Clear,49,49,0,3,3.3
29,Wrights Beach,38.40033248,-123.0969266,06:55 AM,04:59 PM,Clear,51,49,0,3,3.3
30,Gleason Beach,38.39010789,-123.0857298,06:55 AM,04:59 PM,Clear,51,49,0,3,3.3
31,Schoolhouse Beach,38.37626954,-123.0786946,06:55 AM,04:59 PM,Clear,51,49,0,3,3.3
32,Carmet Beach,38.37254912,-123.0762862,06:55 AM,04:59 PM,Clear,51,49,0,3,3.3
33,Arched Rock Beach,38.36725878,-123.0726081,06:55 AM,04:59 PM,Clear,51,49,0,3,3.3
34,Coleman Beach,38.36596694,-123.0714996,06:55 AM,04:59 PM,Clear,51,49,0,3,3.3
35,Miwok Beach,38.36111029,-123.0691915,06:55 AM,04:59 PM,Clear,51,49,0,3,3.3
36,North Salmon Creek Beach,38.35991175,-123.0687585,06:55 AM,04:59 PM,Clear,51,49,0,3,3.3
37,South Salmon Creek Beach,38.33989879,-123.0684011,06:55 AM,04:59 PM,Clear,51,49,0,3,3.3
38,Sonoma Coast State Beach,38.42730398,-123.0997142,06:55 AM,04:59 PM,Clear,51,49,0,3,3.3
39,Doran Beach,38.31450636,-123.0443867,06:55 AM,04:59 PM,Clear,50,50,0,5,3.6
40,Doran Regional Park,38.31405857,-123.0487846,06:55 AM,04:59 PM,Clear,50,50,0,5,3.6
41,Tomales Bay State Park,38.12344382,-122.9013544,06:54 AM,04:59 PM,Clear,53,51,0,6,3.9
42,Point Reyes National Seashore,38.05334833,-122.8686076,06:53 AM,04:59 PM,Clear,53,51,0,6,3.9
43,Mount Tamalpais State Park,37.88916572,-122.6108739,06:52 AM,04:58 PM,Clear,53,52,0,9,2.3
44,Stinson Beach Park,37.89914093,-122.6457161,06:52 AM,04:58 PM,Clear,53,52,0,9,2.3
45,Golden Gate National Recreation Area,37.83175951,-122.5385814,06:52 AM,04:58 PM,Clear,53,52,0,9,2.3
46,Dillon beach,38.25058272,-122.9669146,06:54 AM,04:59 PM,Clear,50,50,0,5,3.6
47,Muir Beach,37.86144576,-122.5794152,06:52 AM,04:58 PM,Clear,53,52,0,9,2.3
48,Miller/Knox Beach,37.91654106,-122.3849756,06:51 AM,04:57 PM,Clear,53,52,0,9,2.3
49,Albany Beach,37.889028,-122.317164,06:51 AM,04:57 PM,Clear,53,52,0,9,2.3
50,Radio Beach,37.82500399,-122.3177221,06:51 AM,04:57 PM,Clear,53,52,0,9,2.3
51,Crown Memorial State Beach,37.76638543,-122.2719476,06:50 AM,04:57 PM,Clear,53,51,0,6,3.6
52,Aquatic Park,37.85749931,-122.3006492,06:51 AM,04:57 PM,Clear,53,52,0,9,2.3
53,East Beach,37.90697664,-122.4472461,06:52 AM,04:57 PM,Clear,53,52,0,9,2.3
54,Marshall's Beach,37.80212595,-122.4800495,06:51 AM,04:58 PM,Clear,53,52,0,9,2.3
55,Baker Beach,37.79389403,-122.4837904,06:51 AM,04:58 PM,Clear,53,52,0,9,2.3
56,China Beach,37.82800894,-122.5124907,06:52 AM,04:58 PM,Clear,53,52,0,9,2.3
57,Lands End Beach,37.78765857,-122.5061247,06:52 AM,04:58 PM,Clear,53,52,0,9,2.3
58,Ocean Beach,37.88181079,-122.534132,06:52 AM,04:58 PM,Clear,53,52,0,9,2.3
59,Fort Funston Beach,37.71968785,-122.5028803,06:51 AM,04:58 PM,Clear,53,52,0,9,2.3
60,Thornton Beach State Park,37.69895078,-122.4966631,06:51 AM,04:58 PM,Clear,53,52,0,9,2.3
61,Palisades Park,34.02321351,-118.5095999,06:27 AM,04:50 PM,Clear,61,58,0,6,1.3
62,Northridge Park,34.04688979,-118.6136107,06:27 AM,04:50 PM,Clear,61,58,0,6,1.3
63,Mussel Rock Park,37.66864578,-122.4949438,06:51 AM,04:58 PM,Clear,53,52,0,9,2.3
64,Long View Park,33.4809628,-117.7246712,06:23 AM,04:47 PM,Clear,59,63,0,11,1.6
65,Beach State Park,33.45460429,-117.6692246,06:23 AM,04:47 PM,Clear,59,63,0,11,1.6
66,Rockaway Beach,40.58727455,-73.82006442,06:43 AM,04:36 PM,Overcast,44,59,100,25,5.2
67,Tunitas Creek Beach,37.35550969,-122.3999619,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
68,Gray Whale Cove State Beach,37.56465031,-122.514044,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
69,Montara State Beach,37.54661402,-122.5149052,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
70,El Granada Beach,37.5005241,-122.4706817,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
71,Vallejo Beach,37.49660111,-122.4650877,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
72,Miramar Beach,30.37588036,-86.36451333,06:12 AM,04:48 PM,Partly cloudy,50,71,11,23,3.3
73,Half Moon Bay State Beach,37.47766417,-122.4500385,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
74,Roosevelt Beach,37.48808914,-122.4566241,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
75,Dunes Beach,37.48509246,-122.4539204,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
76,Venice Beach,37.47654446,-122.4489851,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
77,Francis Beach,37.46564519,-122.4467106,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
78,Redondo State Beach,37.44070715,-122.4437066,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
79,Pelican Point Beach,37.42830898,-122.4397991,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
80,Cowell Ranch Beach,37.42101853,-122.4351767,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
81,Martins Beach,37.37371681,-122.4085306,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
82,San Gregorio Private Beach,37.3365993,-122.4013304,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
83,San Gregorio State Beach,37.32390506,-122.402532,06:51 AM,04:58 PM,Clear,53,51,0,6,3.6
84,Pomponio State Beach,37.29312103,-122.4069395,06:49 AM,04:59 PM,Clear,54,53,0,6,3.9
85,Pescadero State Beach,37.26296837,-122.4136772,06:49 AM,04:59 PM,Clear,54,53,0,6,3.9
86,Pebble Beach,36.57242701,-121.9477807,06:46 AM,04:58 PM,Clear,55,52,0,12,4.6
87,Bean Hollow State Beach,37.22636846,-122.409955,06:49 AM,04:59 PM,Clear,54,53,0,6,3.9
88,Pigeon Point Beach,37.18281646,-122.3849497,06:49 AM,04:59 PM,Clear,54,53,0,6,3.9
89,Año Nuevo State Park,37.11362641,-122.3299457,06:49 AM,04:59 PM,Clear,54,53,0,6,3.9
90,Gazos Creek State Beach,37.1683354,-122.3626122,06:49 AM,04:59 PM,Clear,54,53,0,6,3.9
91,Scaroni Road beach,36.97819903,-122.1371627,06:49 AM,04:58 PM,Clear,53,52,0,4,3.6
92,Natural Bridges State Beach,36.95043481,-122.0573468,06:48 AM,04:58 PM,Clear,53,52,0,4,3.6
