Beach_ID,Beach Name,Latitude,Longitude,Sunrise,Sunset,Weather Description,Temperature,Water Temperature,Cloud Cover,Wind Speed,Wave Height
60,Northridge Park,34.04688979,-118.6136107,6:25 AM,16:51,Clear,58,62,0,7,1.3
61,Mussel Rock Park,37.66864578,-122.4949438,6:49 AM,16:59,Clear,50,55,0,7,3.3
62,Long View Park,33.4809628,-117.7246712,6:21 AM,16:49,Clear,59,64,0,2,2
63,Beach State Park,33.45460429,-117.6692246,6:21 AM,16:49,Clear,59,64,0,2,2
64,Rockaway Beach,40.58727455,-73.82006442,6:41 AM,16:38,Partly cloudy,40,60,1,20,2.6
65,Tunitas Creek Beach,37.35550969,-122.3999619,6:49 AM,17:00,Clear,49,55,0,7,4.6
66,Gray Whale Cove State Beach,37.56465031,-122.514044,6:49 AM,17:00,Clear,49,55,0,7,4.6
67,Montara State Beach,37.54661402,-122.5149052,6:49 AM,17:00,Clear,49,55,0,7,4.6
68,El Granada Beach,37.5005241,-122.4706817,6:49 AM,17:00,Clear,49,55,0,7,4.6
69,Vallejo Beach,37.49660111,-122.4650877,6:49 AM,17:00,Clear,49,55,0,7,4.6
70,Miramar Beach,30.37588036,-86.36451333,6:10 AM,16:49,Partly cloudy,49,72,4,18,1.3
71,Half Moon Bay State Beach,37.47766417,-122.4500385,6:49 AM,17:00,Clear,49,55,0,7,4.6
72,Roosevelt Beach,37.48808914,-122.4566241,6:49 AM,17:00,Clear,49,55,0,7,4.6
73,Dunes Beach,37.48509246,-122.4539204,6:49 AM,17:00,Clear,49,55,0,7,4.6
74,Venice Beach,37.47654446,-122.4489851,6:49 AM,17:00,Clear,49,55,0,7,4.6
75,Francis Beach,37.46564519,-122.4467106,6:49 AM,17:00,Clear,49,55,0,7,4.6
76,Poplar Beach,37.45607296,-122.4447794,6:49 AM,17:00,Clear,49,55,0,7,4.6
77,Redondo State Beach,37.44070715,-122.4437066,6:49 AM,17:00,Clear,49,55,0,7,4.6
78,Pelican Point Beach,37.42830898,-122.4397991,6:49 AM,17:00,Clear,49,55,0,7,4.6
79,Cowell Ranch Beach,37.42101853,-122.4351767,6:49 AM,17:00,Clear,49,55,0,7,4.6
80,Martins Beach,37.37371681,-122.4085306,6:49 AM,17:00,Clear,49,55,0,7,4.6
81,San Gregorio Private Beach,37.3365993,-122.4013304,6:49 AM,17:00,Clear,49,55,0,7,4.6
82,San Gregorio State Beach,37.32390506,-122.402532,6:49 AM,17:00,Clear,49,55,0,7,4.6
83,Pomponio State Beach,37.29312103,-122.4069395,6:47 AM,17:00,Clear,49,56,0,10,5.6
