Beach_ID,Beach_Name,Latitude,Longitude,Sunrise,Sunset,Weather_Description,Temperature,Water_Temperature,Cloud_Cover,Wind_Speed,Wave_Height
52,East Beach,37.90697664,-122.4472461,07:37 AM,06:10 PM,Patchy rain possible,53,51,89,9,3.9
53,Marshall's Beach,37.80212595,-122.4800495,07:37 AM,06:10 PM,Partly cloudy,53,51,13,9,3.9
54,Baker Beach,37.79389403,-122.4837904,07:37 AM,06:10 PM,Partly cloudy,53,51,13,9,3.9
55,China Beach,37.82800894,-122.5124907,07:37 AM,06:10 PM,Partly cloudy,53,51,13,9,3.9
56,Lands End Beach,37.78765857,-122.5061247,07:37 AM,06:10 PM,Patchy rain possible,53,51,81,9,3.9
57,Ocean Beach,37.88181079,-122.534132,07:37 AM,06:10 PM,Partly cloudy,53,51,13,9,3.9
58,Fort Funston Beach,37.71968785,-122.5028803,07:37 AM,06:10 PM,Patchy rain possible,53,51,77,9,3.9
59,Thornton Beach State Park,37.69895078,-122.4966631,07:37 AM,06:10 PM,Patchy rain possible,53,51,77,9,3.9
60,Palisades Park,34.02321351,-118.5095999,07:15 AM,06:00 PM,Overcast,60,66,100,6,1.3
61,Northridge Park,34.04688979,-118.6136107,07:15 AM,06:00 PM,Overcast,60,66,100,6,1.3
62,Mussel Rock Park,37.66864578,-122.4949438,07:37 AM,06:10 PM,Patchy rain possible,53,51,77,9,3.9
63,Long View Park,33.4809628,-117.7246712,07:11 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
64,Beach State Park,33.45460429,-117.6692246,07:11 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
65,Rockaway Beach,40.58727455,-73.82006442,07:28 AM,05:50 PM,Clear,59,57,0,5,2.0
66,Tunitas Creek Beach,37.35550969,-122.3999619,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
67,Gray Whale Cove State Beach,37.56465031,-122.514044,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
68,Montara State Beach,37.54661402,-122.5149052,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
69,El Granada Beach,37.5005241,-122.4706817,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
70,Vallejo Beach,37.49660111,-122.4650877,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
71,Miramar Beach,30.37588036,-86.36451333,07:01 AM,05:56 PM,Partly cloudy,69,73,3,14,0.7
72,Half Moon Bay State Beach,37.47766417,-122.4500385,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
73,Roosevelt Beach,37.48808914,-122.4566241,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
74,Dunes Beach,37.48509246,-122.4539204,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
75,Venice Beach,37.47654446,-122.4489851,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
76,Francis Beach,37.46564519,-122.4467106,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
77,Redondo State Beach,37.44070715,-122.4437066,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
78,Pelican Point Beach,37.42830898,-122.4397991,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
79,Cowell Ranch Beach,37.42101853,-122.4351767,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
80,Martins Beach,37.37371681,-122.4085306,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
81,San Gregorio Private Beach,37.3365993,-122.4013304,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
82,San Gregorio State Beach,37.32390506,-122.402532,07:36 AM,06:10 PM,Partly cloudy,52,55,20,6,5.9
83,Pomponio State Beach,37.29312103,-122.4069395,07:35 AM,06:10 PM,Patchy rain possible,52,56,72,5,6.9
84,Pescadero State Beach,37.26296837,-122.4136772,07:35 AM,06:10 PM,Patchy rain possible,52,56,88,5,6.9
85,Pebble Beach,36.57242701,-121.9477807,07:33 AM,06:09 PM,Partly cloudy,54,52,23,2,7.9
86,Bean Hollow State Beach,37.22636846,-122.409955,07:35 AM,06:10 PM,Patchy rain possible,52,56,88,5,6.9
87,Pigeon Point Beach,37.18281646,-122.3849497,07:35 AM,06:10 PM,Patchy rain possible,52,56,88,5,6.9
88,Año Nuevo State Park,37.11362641,-122.3299457,07:35 AM,06:10 PM,Patchy rain possible,52,56,72,5,6.9
89,Gazos Creek State Beach,37.1683354,-122.3626122,07:35 AM,06:10 PM,Patchy rain possible,52,56,88,5,6.9
90,Scaroni Road beach,36.97819903,-122.1371627,07:34 AM,06:10 PM,Patchy rain possible,52,56,76,2,5.6
91,Natural Bridges State Beach,36.95043481,-122.0573468,07:34 AM,06:09 PM,Patchy rain possible,52,56,74,2,5.6
92,Lighthouse Field State Beach,36.95189034,-122.0285827,07:34 AM,06:09 PM,Patchy rain possible,52,56,74,2,5.6
93,Santa Cruz Beach,36.96440579,-122.0177257,07:34 AM,06:09 PM,Patchy rain possible,52,56,74,2,5.6
94,Capitola State Beach,36.97124,-121.951902,07:34 AM,06:09 PM,Patchy rain possible,52,56,74,2,5.6
